Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-08-10,145.6,146.44,147.71,145.3,69.02M,-0.34%,145.6,69020000.0,146.12,138.63479999999998,-0.0033540967896502627,0.006580879780943172,50.791139240506276,1.885757118359976,149.63145593795798,143.402544062042
2021-08-11,145.86,146.05,146.72,145.53,48.49M,0.18%,145.86,48490000.0,146.20800000000003,139.06640000000002,0.0017857142857145014,0.005233416348464396,45.91304347826092,1.7248309476526344,149.21907598795931,143.48592401204067
2021-08-12,148.89,146.19,149.05,145.84,73.78M,2.08%,148.89,73780000.0,146.533,139.543,0.020773344302755792,0.008239184592489504,51.29209083790126,1.820802398549688,149.30866884695044,143.43733115304954
2021-08-13,149.1,148.97,149.44,148.27,59.38M,0.14%,149.1,59380000.0,146.85700000000003,140.0542,0.0014104372355430161,0.008240230000834355,50.43824701195212,1.891995958100921,149.6875516626334,143.32944833736659
2021-08-16,151.12,148.54,151.19,146.47,103.56M,1.35%,151.12,103560000.0,147.417,140.5588,0.013547954393024808,0.008776241116846762,67.6113360323885,2.087352781588635,150.15517419712359,143.72882580287643
2021-08-17,150.19,150.23,151.68,149.09,92.23M,-0.62%,150.19,92230000.0,147.7,141.0446,-0.0061540497617788015,0.00868834584481458,72.6718885987814,2.1424345916535117,150.6427961839539,143.64520381604612
2021-08-18,146.36,149.8,150.72,146.15,86.33M,-2.55%,146.36,86330000.0,147.641,141.437,-0.025501032026100212,0.01228540161859003,52.45566166439298,1.8556475814006035,150.61558753049422,143.7684124695058
2021-08-19,146.7,145.03,148.0,144.5,86.96M,0.23%,146.7,86960000.0,147.605,141.8284,0.0023230390817161606,0.0123108816685369,52.84167794316635,1.636932429989912,150.61328907742958,143.76071092257038
2021-08-20,148.19,147.44,148.5,146.78,60.55M,1.02%,148.19,60550000.0,147.81,142.27,0.010156782549420651,0.012502912272286075,58.380414312617646,1.5657803036141331,150.56746129644705,143.76953870355294
2021-08-23,149.71,148.31,150.19,147.89,60.13M,1.03%,149.71,60130000.0,148.172,142.7172,0.010257102368580906,0.012778953355018165,57.52722613709157,1.6134442467258339,150.69861219052967,143.71038780947032
2021-08-24,149.62,149.45,150.86,149.15,48.61M,-0.06%,149.62,48610000.0,148.574,143.10000000000002,-0.0006011622470109002,0.012667406694780245,58.7311968606933,1.6252214756968044,150.99555039707664,143.69844960292338
2021-08-25,148.36,149.81,150.32,147.8,58.99M,-0.84%,148.36,58990000.0,148.824,143.4744,-0.00842133404625045,0.013159855170496901,53.95377128953775,1.515414786421104,151.01288222037377,144.01911777962627
2021-08-26,147.54,148.35,149.12,147.51,48.60M,-0.55%,147.54,48600000.0,148.68900000000002,143.82219999999998,-0.005527096252359254,0.011460387782946967,54.28396572827418,1.3467011149211032,150.9946940262332,144.22730597376685
2021-08-27,148.6,147.48,148.75,146.83,55.80M,0.72%,148.6,55800000.0,148.63899999999998,144.1584,0.00718449234106,0.011729283013998072,57.233429394812646,1.28372942226531,151.05417667563825,144.44182332436174
2021-08-30,153.12,149.0,153.49,148.61,90.96M,3.04%,153.12,90960000.0,148.839,144.6116,0.03041722745625841,0.01475961704332725,67.5865294667914,1.5803330314692516,152.0463165020879,144.20968349791207
2021-08-31,151.83,152.66,152.8,151.29,86.45M,-0.84%,151.83,86450000.0,149.003,145.00220000000002,-0.0084247648902821,0.01490571933973674,63.31994645247657,1.6917993004299774,152.5828032706755,144.12019672932448
2021-09-01,152.51,152.83,154.98,152.34,80.31M,0.45%,152.51,80310000.0,149.618,145.37279999999998,0.004478693275373535,0.011587207823138214,59.022931206380875,1.8140956729726554,153.19082240751203,144.06817759248798
2021-09-02,153.65,153.87,154.72,152.4,71.17M,0.75%,153.65,71170000.0,150.31300000000002,145.7718,0.007474919677398217,0.011609766891618783,60.838494521200595,1.9801786352443003,153.97261472707936,143.94538527292065
2021-09-03,154.3,153.76,154.63,153.09,57.87M,0.42%,154.3,57870000.0,150.924,146.1896,0.004230393752033823,0.011450404841294,58.10397553516822,2.139586327790539,154.7305773607986,144.00342263920137
2021-09-07,156.69,154.97,157.26,154.39,82.28M,1.55%,156.69,82280000.0,151.622,146.6612,0.01548930654569003,0.011874356524880468,65.41745730550286,2.4307509150812905,155.94796634300826,143.84603365699172
2021-09-08,155.11,156.98,157.04,153.98,74.42M,-1.01%,155.11,74420000.0,152.171,147.0678,-0.010083604569532056,0.012689180855025657,73.23420074349444,2.5051305670602915,156.49590763404169,144.24909236595832
2021-09-09,154.07,155.49,156.11,153.95,57.31M,-0.67%,154.07,57310000.0,152.742,147.4226,-0.006704919089678407,0.012517726047204402,68.86840757808498,2.4518937637155034,156.73093586487278,144.83506413512725
2021-09-10,148.97,155.0,155.48,148.7,140.89M,-3.31%,148.97,140890000.0,152.885,147.6628,-0.033101836827416076,0.017035596558155966,51.68539325842697,1.9754046013945015,156.7296809473598,144.84431905264015
