Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-08-10,136.81,137.34,137.77,136.36,19.41M,-0.08%,136.81,19410000.0,135.79199999999997,126.28200000000001,-0.0007304068366079663,0.011260818087349132,75.05411255411259,3.146699186062051,140.72731823253926,123.8566817674607
2021-08-11,136.28,137.18,137.68,136.27,15.35M,-0.39%,136.28,15350000.0,135.811,126.62639999999999,-0.00387398581975007,0.005628662622830684,71.66482910694603,3.0403840341108435,141.08243414281952,124.30556585718051
2021-08-12,137.19,135.98,137.3,135.43,16.52M,0.67%,137.19,16520000.0,135.952,126.99959999999999,0.0066774288230113665,0.005904443325672377,64.45366528354084,2.995033028632122,141.37067763528594,125.0363223647141
2021-08-13,137.73,137.25,137.86,137.03,15.95M,0.39%,137.73,15950000.0,136.252,127.4066,0.003936146949486075,0.005070047943718627,63.20687186828921,2.9684471066344713,141.5911671736349,125.89183282636513
2021-08-16,138.31,137.52,138.36,135.3,22.40M,0.42%,138.31,22400000.0,136.598,127.7792,0.0042111377332463285,0.00508230653366987,75.825946817083,2.9600570297800743,141.23657848986338,127.61942151013663
2021-08-17,136.66,137.75,138.27,136.08,21.72M,-1.19%,136.66,21720000.0,136.701,128.1102,-0.011929723085821742,0.006668591672052064,52.88753799392093,2.7881268324750295,140.61071563658396,129.290284363416
2021-08-18,135.45,136.5,137.1,135.32,19.26M,-0.89%,135.45,19260000.0,136.733,128.42079999999999,-0.008854090443436324,0.007229525689377669,48.4679665738161,2.52512594475769,139.80684968957036,130.88415031042962
2021-08-19,135.68,134.44,136.35,134.25,21.78M,0.17%,135.68,21780000.0,136.676,128.72639999999998,0.0016980435585087772,0.006697153750958397,54.77386934673375,2.30864233250324,138.75398863938605,132.66301136061398
2021-08-20,137.43,136.0,137.55,135.25,31.19M,1.29%,137.43,31190000.0,136.845,129.03979999999999,0.012897995283018826,0.0077574212725816365,61.139896373057034,2.252324490053155,138.7861117213079,133.0728882786921
2021-08-23,140.04,137.97,140.87,137.61,28.45M,1.90%,140.04,28450000.0,137.158,129.41039999999998,0.018991486574983618,0.009374771395705235,66.44295302013423,2.390738436964881,139.483229681781,132.97577031821893
