Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,MA10,MA50,Returns,Volatility,RSI,MACD,UpperBand,LowerBand
2021-08-10,19.94,20.32,20.43,19.83,179.24M,-1.77%,19.94,179240000.0,19.975,19.0898,-0.017733990147783207,0.013897663519252217,58.80398671096348,0.3106670140330188,20.794423264523104,18.3225767354769
2021-08-11,19.7,20.04,20.05,19.43,185.92M,-1.20%,19.7,185920000.0,19.994999999999997,19.1586,-0.012036108324975037,0.014099386616692033,51.79153094462539,0.2678384765529458,20.782285371857704,18.32071462814229
2021-08-12,19.91,19.87,20.03,19.62,151.86M,1.07%,19.91,151860000.0,20.02,19.2212,0.010659898477157315,0.014257125601327131,55.3846153846154,0.2479832010166696,20.80738421804222,18.389615781957783
2021-08-13,20.19,19.91,20.21,19.85,183.06M,1.41%,20.19,183060000.0,20.089,19.2856,0.014063284781516971,0.01434281833700124,63.803680981595114,0.2519372364111341,20.727639092903303,18.672360907096696
2021-08-16,19.95,20.14,20.29,19.45,211.15M,-1.19%,19.95,211150000.0,20.109,19.333,-0.01188707280832102,0.014697078927450405,60.81871345029236,0.23301874862718464,20.694769754200973,18.82223024579903
2021-08-17,19.46,19.68,19.77,19.27,204.58M,-2.46%,19.46,204580000.0,20.073,19.3698,-0.024561403508771895,0.016726095558964343,49.44751381215471,0.1764527681853174,20.58206270386467,19.01993729613533
2021-08-18,19.04,19.5,19.63,19.0,285.91M,-2.16%,19.04,285910000.0,19.95,19.401400000000002,-0.021582733812949728,0.015351393423459538,42.01030927835052,0.09661956107918002,20.61817495569684,18.946825044303164
2021-08-19,19.8,19.49,20.5,18.76,766.55M,3.99%,19.8,766550000.0,19.866,19.4502,0.0399159663865547,0.01999977050517202,53.348214285714285,0.09359787960195831,20.6237536210859,18.9622463789141
2021-08-20,20.82,19.99,20.87,19.93,675.74M,5.15%,20.82,675740000.0,19.911,19.518,0.051515151515151514,0.026200025169648044,60.19047619047618,0.17153134420411575,20.796244089249377,18.915755910750626
2021-08-23,21.96,20.97,22.0,20.95,575.81M,5.48%,21.96,575810000.0,20.076999999999998,19.6006,0.05475504322766578,0.030796223743126183,66.93037974683543,0.32157572422912395,21.283152113001655,18.695847886998344
2021-08-24,21.79,21.75,21.96,21.54,297.30M,-0.77%,21.79,297300000.0,20.262,19.676000000000002,-0.007741347905282359,0.030009297760388087,62.58278145695362,0.42190592824610107,21.587524380866064,18.649475619133938
2021-08-25,22.21,21.74,22.47,21.72,347.70M,1.93%,22.21,347700000.0,20.512999999999998,19.764400000000002,0.019274896741624747,0.029155945163361095,62.88998357963874,0.5292084421825223,21.963125969303412,18.544874030696583
2021-08-26,22.07,22.2,22.34,21.79,237.94M,-0.63%,22.07,237940000.0,20.729000000000003,19.8496,-0.006303466906798727,0.029758351014611727,64.26174496644293,0.5960784067517153,22.23996988577592,18.509030114224082
2021-08-27,22.64,22.18,22.72,22.17,304.72M,2.58%,22.64,304720000.0,20.974,19.929199999999998,0.02582691436338913,0.030134243870508216,68.11145510835911,0.6871465737873841,22.604111116950126,18.458888883049877
2021-08-30,22.69,22.83,23.04,22.55,262.58M,0.22%,22.69,262579999.99999997,21.247999999999998,20.0102,0.0022084805653710404,0.029212418656043498,72.35772357723573,0.7546541511083547,22.927282360581646,18.42971763941836
2021-08-31,22.39,22.7,22.7,22.12,259.85M,-1.32%,22.39,259850000.00000003,21.541,20.0894,-0.013221683561040143,0.027762176783340586,71.65861513687598,0.775013031902752,23.14131247626407,18.472687523735928
2021-09-01,22.44,22.48,22.7,22.36,201.77M,0.22%,22.44,201770000.0,21.881,20.1604,0.0022331397945511977,0.025232516684088508,70.90909090909088,0.7861202686288138,23.344521678740122,18.48647832125988
2021-09-02,22.4,22.52,22.59,22.29,188.11M,-0.18%,22.4,188110000.0,22.141000000000002,20.2272,-0.0017825311942960553,0.024429188470898804,69.01893287435449,0.7826730008942029,23.51656711326806,18.490432886731938
2021-09-03,22.84,22.32,22.99,22.2,280.83M,1.96%,22.84,280830000.0,22.343,20.2998,0.019642857142857295,0.02057390374666063,74.04326123128115,0.806152514767156,23.749374175397076,18.50462582460293
2021-09-07,22.66,22.83,22.9,22.52,198.11M,-0.79%,22.66,198110000.0,22.413000000000004,20.3724,-0.007880910683012221,0.013621760918796064,78.07017543859642,0.8010022476902137,23.922496867166085,18.56750313283391
2021-09-08,22.34,22.51,22.61,21.98,254.43M,-1.41%,22.34,254430000.0,22.468,20.4196,-0.014121800529567574,0.014323869435712617,79.46428571428567,0.7623118418870227,24.01117698417528,18.718823015824725
2021-09-09,22.18,22.31,22.54,22.13,196.86M,-0.72%,22.18,196860000.0,22.465,20.4626,-0.0071620411817368,0.013305207965954389,73.79999999999994,0.7105479986863799,24.037278262918548,18.940721737081454
2021-09-10,22.48,22.35,22.63,22.27,248.38M,1.35%,22.48,248380000.0,22.506,20.512199999999996,0.01352569882777277,0.01374115183281511,69.39252336448592,0.685826491920217,24.088543887658993,19.146456112341006
2021-09-13,22.15,22.68,22.96,21.86,297.50M,-1.47%,22.15,297500000.0,22.457,20.551,-0.014679715302491236,0.01173719852683373,52.73775216138324,0.6323173171955041,24.102195359035612,19.328804640964385
